#CODE;NAME;;;;;;;;;;;;;x
#CODE_desc;DESCRIPTION;;;;;;;;;;;;;x

show_realm_laws;Show Realm Laws;;;;;;;;;;;;;x
show_realm_laws_desc;Show the realm laws cheat menu.;;;;;;;;;;;;;x

hide_realm_laws;Hide Realm Laws;;;;;;;;;;;;;x
hide_realm_laws_desc;Hide the realm laws cheat menu.;;;;;;;;;;;;;x

cycle_crown_authority_up;----Cycle Crown Authority Up;;;;;;;;;;;;;x
cycle_crown_authority_up_desc;Steps up to the next Crown Authority level (Min to Low to Medium to High to Max).;;;;;;;;;;;;;x

cycle_crown_authority_down;----Cycle Crown Authority Down;;;;;;;;;;;;;x
cycle_crown_authority_down_desc;Steps down to the previous Crown Authority level (Max to High to Medium to Low to Min).;;;;;;;;;;;;;x
set_investiture_free;----Set Investiture: Free;;;;;;;;;;;;;x
set_investiture_free_desc;Sets Investiture to Free (player appoints bishops – vassals with bishops gain opinion – religious head dislikes).;;;;;;;;;;;;;x

set_investiture_papal;----Set Investiture: Papal;;;;;;;;;;;;;x
set_investiture_papal_desc;Sets Investiture to Papal (religious head appoints bishops).;;;;;;;;;;;;;x

set_realm_inheritance_illegal;----Set Controlled Realm Inheritance: Illegal;;;;;;;;;;;;;x
set_realm_inheritance_illegal_desc;Sets Controlled Realm Inheritance to Illegal (vassal titles cannot pass to another realm).;;;;;;;;;;;;;x

set_realm_inheritance_free;----Set Controlled Realm Inheritance: Free;;;;;;;;;;;;;x
set_realm_inheritance_free_desc;Sets Controlled Realm Inheritance to Free (vassal titles can pass to another realm).;;;;;;;;;;;;;x

set_vassal_wars_allowed;----Set Vassal War Declaration: Allowed;;;;;;;;;;;;;x
set_vassal_wars_allowed_desc;Sets Vassal War Declaration to Allowed (vassals may freely declare war).;;;;;;;;;;;;;x

set_vassal_wars_external;----Set Vassal War Declaration: External;;;;;;;;;;;;;x
set_vassal_wars_external_desc;Sets Vassal War Declaration to External (vassals may only declare war outside the realm).;;;;;;;;;;;;;x

set_vassal_wars_illegal;----Set Vassal War Declaration: Illegal;;;;;;;;;;;;;x
set_vassal_wars_illegal_desc;Sets Vassal War Declaration to Illegal (vassals may not declare war within or outside the realm).;;;;;;;;;;;;;x

cycle_centralization_up;----Cycle Centralization Up;;;;;;;;;;;;;x
