add_claim;Add Claim;;;;;;;;;;;;;x
add_claim_desc;Adds a claim to this title to your character.;;;;;;;;;;;;;x

take_title;Take Title;;;;;;;;;;;;;x
take_title_desc;Take this title for yourself.;;;;;;;;;;;;;x

# Succession laws
make_eldership;Succession Law: Eldership;;;;;;;;;;;;;x
make_eldership_desc;The eldest member of your dynasty inherits.;;;;;;;;;;;;;x

make_elective_gavelkind;Succession Law: Elective Gavelkind;;;;;;;;;;;;;x
make_elective_gavelkind_desc;Children of the ruler vote on the heir. Remaining children inherit secondary titles.;;;;;;;;;;;;;x

make_elective;Succession Law: Elective Monarchy;;;;;;;;;;;;;x
make_elective_desc;Vassals vote on the heir. The realm stays intact across succession.;;;;;;;;;;;;;x

make_open_elective_vanilla;Succession Law: Elective Republic;;;;;;;;;;;;;x
make_open_elective_vanilla_desc;Members of the order vote on the next leader.;;;;;;;;;;;;;x

make_gavelkind;Succession Law: Gavelkind;;;;;;;;;;;;;x
make_gavelkind_desc;Titles divide between all eligible children. The realm fragments at succession.;;;;;;;;;;;;;x

make_byzantine_elective;Succession Law: Imperial Elective;;;;;;;;;;;;;x
make_byzantine_elective_desc;Family members vote on the heir.;;;;;;;;;;;;;x

make_nomadic;Succession Law: Nomad Succession;;;;;;;;;;;;;x
make_nomadic_desc;Nomad succession by strength – the ruler's sons fight for the horde.;;;;;;;;;;;;;x

make_open;Succession Law: Open;;;;;;;;;;;;;x
make_open_desc;Any dynasty member can succeed. Vassals push competing claimants.;;;;;;;;;;;;;x

make_open_elective;Succession Law: Open Elective;;;;;;;;;;;;;x
make_open_elective_desc;Members of the order vote on the next leader.;;;;;;;;;;;;;x

make_patrician_elective;Succession Law: Patrician Elective;;;;;;;;;;;;;x
make_patrician_elective_desc;Patrician family heads vote on the next Doge.;;;;;;;;;;;;;x

make_primogeniture;Succession Law: Primogeniture;;;;;;;;;;;;;x
make_primogeniture_desc;Eldest child inherits everything.;;;;;;;;;;;;;x

make_princely_elective;Succession Law: Princely Elective;;;;;;;;;;;;;x
make_princely_elective_desc;Elector vassals vote on the successor.;;;;;;;;;;;;;x

make_seniority;Succession Law: Seniority;;;;;;;;;;;;;x
make_seniority_desc;Eldest member of your dynasty inherits, regardless of relation.;;;;;;;;;;;;;x

make_tanistry;Succession Law: Tanistry;;;;;;;;;;;;;x
make_tanistry_desc;Dynasty members vote on the heir.;;;;;;;;;;;;;x

make_ultimogeniture;Succession Law: Ultimogeniture;;;;;;;;;;;;;x
make_ultimogeniture_desc;Youngest child inherits everything.;;;;;;;;;;;;;x

# Gender succession (male-to-female order)
make_agnatic;Gender Law: Agnatic;;;;;;;;;;;;;x
make_agnatic_desc;Males only. Females cannot inherit or transmit claims.;;;;;;;;;;;;;x

make_cognatic;Gender Law: Agnatic-Cognatic;;;;;;;;;;;;;x
make_cognatic_desc;Males preferred. Females inherit only if no male heirs exist.;;;;;;;;;;;;;x

make_true_cognatic;Gender Law: Absolute Cognatic;;;;;;;;;;;;;x
make_true_cognatic_desc;Eldest child inherits, regardless of sex.;;;;;;;;;;;;;x

make_enatic_cognatic;Gender Law: Enatic-Cognatic;;;;;;;;;;;;;x
make_enatic_cognatic_desc;Females preferred. Males inherit only if no female heirs exist.;;;;;;;;;;;;;x

make_enatic;Gender Law: Enatic;;;;;;;;;;;;;x
make_enatic_desc;Females only. Males cannot inherit or transmit claims.;;;;;;;;;;;;;x

# Gender succession (Hidden on Iqta / Holy Order / Merchant Republic)
make_agnatic_hidden;Gender Law: Agnatic (Hidden);;;;;;;;;;;;;x
make_agnatic_hidden_desc;Males only. Females cannot inherit or transmit claims.;;;;;;;;;;;;;x

make_cognatic_hidden;Gender Law: Agnatic-Cognatic (Hidden);;;;;;;;;;;;;x
make_cognatic_hidden_desc;Males preferred. Females inherit only if no male heirs exist.;;;;;;;;;;;;;x

make_true_cognatic_hidden;Gender Law: Absolute Cognatic (Hidden);;;;;;;;;;;;;x
make_true_cognatic_hidden_desc;Eldest child inherits, regardless of sex.;;;;;;;;;;;;;x

make_enatic_cognatic_hidden;Gender Law: Enatic-Cognatic (Hidden);;;;;;;;;;;;;x
make_enatic_cognatic_hidden_desc;Females preferred. Males inherit only if no female heirs exist.;;;;;;;;;;;;;x

make_enatic_hidden;Gender Law: Enatic (Hidden);;;;;;;;;;;;;x
make_enatic_hidden_desc;Females only. Males cannot inherit or transmit claims.;;;;;;;;;;;;;x

# Gender-hidden tooltip messages (custom_tooltip inside effect)
gender_hidden_iqta_tooltip;Iqta governments don't display gender succession in vanilla's Inheritance UI, but the engine still applies the law.;;;;;;;;;;;;;x
gender_hidden_order_tooltip;Holy Orders don't display gender succession in vanilla's Inheritance UI, but the engine still applies the law.;;;;;;;;;;;;;x
gender_hidden_mr_tooltip;Merchant Republics don't display gender succession in vanilla's Inheritance UI, but the engine still applies the law.;;;;;;;;;;;;;x
